date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2021-03-13,Kenya,South Sudan,1,0,Friendly,Nairobi,Kenya,FALSE
2021-03-15,Kenya,Tanzania,2,1,Friendly,Nairobi,Kenya,FALSE
2021-03-17,Ethiopia,Malawi,4,0,Friendly,Bahir Dar,Ethiopia,FALSE
2021-03-20,Oman,Jordan,0,0,Friendly,Dubai,United Arab Emirates,TRUE
2021-03-24,Belarus,Honduras,1,1,Friendly,Zhodzina,Belarus,FALSE
2021-03-24,Jordan,Lebanon,1,0,Friendly,Dubai,United Arab Emirates,TRUE
2021-03-24,Kosovo,Lithuania,4,0,Friendly,Pristina,Kosovo,FALSE
2021-03-24,Qatar,Luxembourg,1,0,Friendly,Debrecen,Hungary,TRUE
2021-03-24,Antigua and Barbuda,Montserrat,2,2,FIFA World Cup qualification,Willemstad,Curaçao,TRUE
2021-03-24,Suriname,Cayman Islands,3,0,FIFA World Cup qualification,Paramaribo,Suriname,FALSE
2021-03-24,Guatemala,Cuba,1,0,FIFA World Cup qualification,Guatemala City,Guatemala,FALSE
2021-03-24,Dominican Republic,Dominica,1,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,FALSE
2021-03-24,Saint Kitts and Nevis,Puerto Rico,1,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,TRUE
2021-03-24,Portugal,Azerbaijan,1,0,FIFA World Cup qualification,Turin,Italy,TRUE
2021-03-24,Serbia,Republic of Ireland,3,2,FIFA World Cup qualification,Belgrade,Serbia,FALSE
2021-03-24,France,Ukraine,1,1,FIFA World Cup qualification,Paris,France,FALSE
2021-03-24,Finland,Bosnia and Herzegovina,2,2,FIFA World Cup qualification,Helsinki,Finland,FALSE
2021-03-24,Belgium,Wales,3,1,FIFA World Cup qualification,Leuven,Belgium,FALSE
2021-03-24,Estonia,Czech Republic,2,6,FIFA World Cup qualification,Lublin,Poland,TRUE
2021-03-24,Turkey,Netherlands,4,2,FIFA World Cup qualification,Istanbul,Turkey,FALSE
2021-03-24,Gibraltar,Norway,0,3,FIFA World Cup qualification,Gibraltar,Gibraltar,FALSE
2021-03-24,Latvia,Montenegro,1,2,FIFA World Cup qualification,Riga,Latvia,FALSE
2021-03-24,Malta,Russia,1,3,FIFA World Cup qualification,Ta' Qali,Malta,FALSE
2021-03-24,Slovenia,Croatia,1,0,FIFA World Cup qualification,Ljubljana,Slovenia,FALSE
2021-03-24,Cyprus,Slovakia,0,0,FIFA World Cup qualification,Nicosia,Cyprus,FALSE
2021-03-24,Chad,Namibia,0,3,African Cup of Nations qualification,N'Djamena,Chad,FALSE
2021-03-24,Guinea,Mali,1,0,African Cup of Nations qualification,Clermont-Ferrand,France,TRUE
2021-03-24,South Sudan,Malawi,0,1,African Cup of Nations qualification,Omdurman,Sudan,TRUE
2021-03-24,Uganda,Burkina Faso,0,0,African Cup of Nations qualification,Kampala,Uganda,FALSE
2021-03-24,São Tomé and Príncipe,Sudan,0,2,African Cup of Nations qualification,São Tomé,São Tomé and Príncipe,FALSE
2021-03-24,Rwanda,Mozambique,1,0,African Cup of Nations qualification,Kigali,Rwanda,FALSE
2021-03-24,Ethiopia,Madagascar,4,0,African Cup of Nations qualification,Bahir Dar,Ethiopia,FALSE
2021-03-25,Bahrain,Syria,3,1,Friendly,Isa Town,Bahrain,FALSE
2021-03-25,India,Oman,1,1,Friendly,Dubai,United Arab Emirates,TRUE
2021-03-25,Japan,South Korea,3,0,Friendly,Yokohama,Japan,FALSE
2021-03-25,Saudi Arabia,Kuwait,1,0,Friendly,Riyadh,Saudi Arabia,FALSE
2021-03-25,United States,Jamaica,4,1,Friendly,Wiener Neustadt,Austria,TRUE
2021-03-25,El Salvador,Grenada,2,0,FIFA World Cup qualification,San Salvador,El Salvador,FALSE
2021-03-25,Canada,Bermuda,5,1,FIFA World Cup qualification,Orlando,United States,TRUE
2021-03-25,Curaçao,Saint Vincent and the Grenadines,5,0,FIFA World Cup qualification,Willemstad,Curaçao,FALSE
2021-03-25,Panama,Barbados,1,0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,TRUE
2021-03-25,Haiti,Belize,2,0,FIFA World Cup qualification,Port-au-Prince,Haiti,FALSE
2021-03-25,Trinidad and Tobago,Guyana,3,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,TRUE
2021-03-25,Spain,Greece,1,1,FIFA World Cup qualification,Granada,Spain,FALSE
2021-03-25,Sweden,Georgia,1,0,FIFA World Cup qualification,Stockholm,Sweden,FALSE
2021-03-25,Bulgaria,Switzerland,1,3,FIFA World Cup qualification,Sofia,Bulgaria,FALSE
2021-03-25,Italy,Northern Ireland,2,0,FIFA World Cup qualification,Parma,Italy,FALSE
2021-03-25,Israel,Denmark,0,2,FIFA World Cup qualification,Tel Aviv,Israel,FALSE
2021-03-25,Scotland,Austria,2,2,FIFA World Cup qualification,Glasgow,Scotland,FALSE
2021-03-25,Moldova,Faroe Islands,1,1,FIFA World Cup qualification,Chișinău,Moldova,FALSE
2021-03-25,England,San Marino,5,0,FIFA World Cup qualification,London,England,FALSE
2021-03-25,Andorra,Albania,0,1,FIFA World Cup qualification,Andorra la Vella,Andorra,FALSE
2021-03-25,Hungary,Poland,3,3,FIFA World Cup qualification,Budapest,Hungary,FALSE
2021-03-25,Germany,Iceland,3,0,FIFA World Cup qualification,Duisburg,Germany,FALSE
2021-03-25,Liechtenstein,Armenia,0,1,FIFA World Cup qualification,Vaduz,Liechtenstein,FALSE
2021-03-25,Romania,North Macedonia,3,2,FIFA World Cup qualification,Bucharest,Romania,FALSE
2021-03-25,South Africa,Ghana,1,1,African Cup of Nations qualification,Johannesburg,South Africa,FALSE
2021-03-25,Gambia,Angola,1,0,African Cup of Nations qualification,Bakau,Gambia,FALSE
2021-03-25,Gabon,DR Congo,3,0,African Cup of Nations qualification,Franceville,Gabon,FALSE
2021-03-25,Comoros,Togo,0,0,African Cup of Nations qualification,Moroni,Comoros,FALSE
2021-03-25,Kenya,Egypt,1,1,African Cup of Nations qualification,Nairobi,Kenya,FALSE
2021-03-25,Botswana,Zimbabwe,0,1,African Cup of Nations qualification,Francistown,Botswana,FALSE
2021-03-25,Zambia,Algeria,3,3,African Cup of Nations qualification,Lusaka,Zambia,FALSE
2021-03-25,Equatorial Guinea,Tanzania,1,0,African Cup of Nations qualification,Malabo,Equatorial Guinea,FALSE
2021-03-25,Libya,Tunisia,2,5,African Cup of Nations qualification,Benina,Libya,FALSE
2021-03-25,Tajikistan,Mongolia,3,0,FIFA World Cup qualification,Dushanbe,Tajikistan,FALSE
2021-03-26,Chile,Bolivia,2,1,Friendly,Rancagua,Chile,FALSE
2021-03-26,Burundi,Central African Republic,2,2,African Cup of Nations qualification,Bujumbura,Burundi,FALSE
2021-03-26,Mauritania,Morocco,0,0,African Cup of Nations qualification,Nouakchott,Mauritania,FALSE
2021-03-26,Cape Verde,Cameroon,3,1,African Cup of Nations qualification,Praia,Cape Verde,FALSE
2021-03-26,Eswatini,Guinea-Bissau,1,3,African Cup of Nations qualification,Manzini,Eswatini,FALSE
2021-03-26,Congo,Senegal,0,0,African Cup of Nations qualification,Brazzaville,Congo,FALSE
2021-03-26,Niger,Ivory Coast,0,3,African Cup of Nations qualification,Lomé,Togo,TRUE
2021-03-27,Bosnia and Herzegovina,Costa Rica,0,0,Friendly,Zenica,Bosnia and Herzegovina,FALSE
