winner_country,country_home,home_country_weighted_score,country_away,away_country_weighted_score,home rank,away rank
Portugal,Portugal,0.6000000000000001,Azerbaijan,0.44999999999999996,0.6000000000000001,0.44999999999999996
Serbia,Serbia,0.6000000000000001,Republic of Ireland,0.44999999999999996,0.6000000000000001,0.44999999999999996
N/A,France,0.5,Ukraine,0.5,0.5,0.5
Belgium,Belgium,0.6000000000000001,Wales,0.44999999999999996,0.6000000000000001,0.44999999999999996
Czechia,Estonia,0.44999999999999996,Czechia,0.6000000000000001,0.44999999999999996,0.6000000000000001
Turkey,Turkey,0.6000000000000001,Netherlands,0.44999999999999996,0.6000000000000001,0.44999999999999996
Slovenia,Slovenia,0.6000000000000001,Croatia,0.44999999999999996,0.6000000000000001,0.44999999999999996
N/A,Cyprus,0.5,Slovakia,0.5,0.5,0.5
N/A,Spain,0.5,Greece,0.5,0.5,0.5
Sweden,Sweden,0.6000000000000001,Georgia,0.44999999999999996,0.6000000000000001,0.44999999999999996
Switzerland,Bulgaria,0.44999999999999996,Switzerland,0.6000000000000001,0.44999999999999996,0.6000000000000001
Italy,Italy,0.6000000000000001,Northern Ireland,0.44999999999999996,0.6000000000000001,0.44999999999999996
Denmark,Israel,0.44999999999999996,Denmark,0.6000000000000001,0.44999999999999996,0.6000000000000001
N/A,Scotland,0.5,Austria,0.5,0.5,0.5
England,England,0.6000000000000001,San Marino,0.44999999999999996,0.6000000000000001,0.44999999999999996
Albania,Andorra,0.44999999999999996,Albania,0.6000000000000001,0.44999999999999996,0.6000000000000001
N/A,Hungary,0.5,Poland,0.5,0.5,0.5
Germany,Germany,0.6000000000000001,Iceland,0.44999999999999996,0.6000000000000001,0.44999999999999996
Romania,Romania,0.6000000000000001,North Macedonia,0.44999999999999996,0.6000000000000001,0.44999999999999996
N/A,Serbia,0.6000000000000001,Portugal,0.6000000000000001,0.6000000000000001,0.6000000000000001
N/A,Czechia,0.6000000000000001,Belgium,0.6000000000000001,0.6000000000000001,0.6000000000000001
Netherlands,Netherlands,0.545,Latvia,0.45249999999999996,0.545,0.45249999999999996
Turkey,Norway,0.44499999999999995,Turkey,0.7100000000000002,0.44499999999999995,0.7100000000000002
Russia,Russia,0.6100000000000001,Slovenia,0.545,0.6100000000000001,0.545
Croatia,Croatia,0.545,Cyprus,0.45249999999999996,0.545,0.45249999999999996
N/A,Slovakia,0.5,Malta,0.5,0.5,0.5
Spain,Georgia,0.4024999999999999,Spain,0.5950000000000001,0.4024999999999999,0.5950000000000001
Switzerland,Switzerland,0.7100000000000002,Lithuania,0.44499999999999995,0.7100000000000002,0.44499999999999995
Italy,Bulgaria,0.3974999999999999,Italy,0.7050000000000002,0.3974999999999999,0.7050000000000002
France,Kazakhstan,0.44999999999999996,France,0.6000000000000001,0.44999999999999996,0.6000000000000001
N/A,Ukraine,0.5,Finland,0.5,0.5,0.5
Denmark,Denmark,0.7100000000000002,Moldova,0.44499999999999995,0.7100000000000002,0.44499999999999995
Austria,Austria,0.6000000000000001,Faroe Islands,0.44999999999999996,0.6000000000000001,0.44999999999999996
N/A,Israel,0.45249999999999996,Scotland,0.4975,0.45249999999999996,0.4975
England,Albania,0.54,England,0.7200000000000002,0.54,0.7200000000000002
Poland,Poland,0.5950000000000001,Andorra,0.4024999999999999,0.5950000000000001,0.4024999999999999
Hungary,San Marino,0.4024999999999999,Hungary,0.5950000000000001,0.4024999999999999,0.5950000000000001
Germany,Romania,0.54,Germany,0.7200000000000002,0.54,0.7200000000000002
Serbia,Azerbaijan,0.3974999999999999,Serbia,0.7050000000000002,0.3974999999999999,0.7050000000000002
Portugal,Luxembourg,0.44499999999999995,Portugal,0.7100000000000002,0.44499999999999995,0.7100000000000002
Wales,Wales,0.555,Czechia,0.5475000000000001,0.555,0.5475000000000001
Belgium,Belgium,0.7100000000000002,Belarus,0.44499999999999995,0.7100000000000002,0.44499999999999995
