country,win_percentage,no_games
British Virgin Islands,7.14,14
Menorca,25.0,4
Libya,41.94,31
Ivory Coast,60.0,40
Chameria,50.0,2
Western Isles,50.0,4
Saint Helena,0.0,4
Northern Mariana Islands,25.0,4
Costa Rica,40.82,49
Saint Vincent and the Grenadines,23.81,21
Cayman Islands,8.33,12
Rwanda,25.0,24
Solomon Islands,65.0,20
Senegal,59.62,52
Kernow,100.0,1
Guam,0.0,7
United Arab Emirates,50.0,44
Brazil,65.0,40
Azerbaijan,29.41,34
South Sudan,22.22,18
Sint Maarten,35.71,14
Kenya,38.89,18
Scotland,42.5,40
Panama,47.27,55
Uzbekistan,60.53,38
Qatar,50.85,59
Equatorial Guinea,45.45,33
Kyrgyzstan,37.93,29
DR Congo,30.56,36
Madagascar,26.92,26
Sweden,58.54,41
San Marino,0.0,34
Egypt,57.45,47
Peru,41.46,41
Haiti,48.15,27
New Zealand,39.13,23
Biafra,66.67,3
Cuba,41.38,29
South Korea,57.14,49
Thailand,46.0,50
American Samoa,0.0,4
Cameroon,40.0,40
Brunei,20.0,15
Liechtenstein,0.0,33
Faroe Islands,17.65,34
Montserrat,37.5,16
Guatemala,38.64,44
Uganda,25.0,32
Ukraine,40.0,40
Colombia,50.0,40
Papua New Guinea,35.29,17
Ecuador,37.21,43
Ghana,32.5,40
Pakistan,7.14,14
Andorra,17.65,34
Niger,16.13,31
Gibraltar,5.88,34
Isle of Wight,75.0,4
Matabeleland,33.33,3
Portugal,64.44,45
Angola,34.21,38
Togo,32.0,25
Iraq,44.44,45
Oman,50.0,50
Belize,20.0,20
Martinique,29.41,17
Shetland,75.0,4
São Tomé and Príncipe,0.0,12
Malta,23.53,34
Guernsey,57.14,7
France,58.7,46
Tamil Eelam,100.0,3
Malaysia,48.78,41
Ynys Môn,75.0,4
Turks and Caicos Islands,23.53,17
Samoa,50.0,4
Burkina Faso,40.48,42
Guinea,37.5,40
Malawi,29.73,37
Palestine,40.74,27
Turkey,48.78,41
Tuvalu,50.0,4
Eswatini,26.67,30
Wales,32.5,40
